x1,x2,y
17.09044327,25.35291551,1
2.031607687,26.39942972,1
5.059274495,25.210143,1
20.63470546,9.564281985,1
26.63743278,20.60038624,1
14.34283364,45.20650895,2
5.924572457,12.44240855,0
7.161017325,39.52089267,1
17.03610049,23.99206446,1
28.88513315,27.38169398,2
3.0809649,37.85063145,1
32.26227078,14.94639794,1
15.44555243,22.93128469,1
43.64504715,19.21566451,2
1.938186843,40.40844423,1
23.11819317,2.754078915,1
29.84604106,34.30136468,2
36.21681572,19.30677376,2
1.962090194,5.287318121,0
1.734473404,22.8049481,0
28.61129416,26.43326685,2
49.73368666,27.71766616,2
48.63503598,16.35433246,2
36.05248945,19.3232781,2
5.18628075,34.60593317,1
38.00166512,22.2584637,2
20.05009862,31.28513218,2
49.19481317,33.37650836,2
8.756916077,28.65329831,1
47.03721621,9.771938811,2
28.25228411,0.673103782,1
9.290967841,17.63237367,1
14.2760787,13.53170528,1
28.21509324,32.86446873,2
14.74891049,8.910984661,0
34.30619668,34.86896268,2
9.928226772,32.81023952,1
49.36899226,7.869394281,2
17.13275297,35.15353695,2
32.8473029,21.24875753,2
30.96840206,47.51619549,2
36.78114223,45.03792823,2
19.49707584,5.690493993,1
13.96492678,10.36257352,0
14.38972802,0.970244382,0
5.365774362,0.952002998,0
11.31429246,29.48860872,1
12.28701231,46.71145077,2
22.20440941,30.04280199,2
22.58209371,34.49491363,2
21.02604629,44.89912807,2
34.86769037,5.421423307,1
3.934151056,35.45885401,1
28.08740691,8.03686117,1
20.47145252,15.19906067,1
17.55892949,44.67474438,2
42.76221654,42.79575182,2
31.89599107,13.23924243,1
24.83043091,9.17608373,1
26.37355682,13.64940338,1
2.341358727,40.25428572,1
14.81976213,27.5375649,1
42.96559746,18.19259961,2
34.45113038,44.0250761,2
2.64725286,48.55317879,2
15.17520105,48.21289713,2
11.57593333,25.54535262,1
17.64805843,27.08061162,1
8.505104023,20.90213519,1
13.39339785,40.90417534,2
45.61441464,5.113629908,2
27.20629754,11.09024153,1
48.90232374,29.78712572,2
12.64015227,34.63472898,1
34.39000624,19.67903882,2
3.854434336,20.34048219,0
16.50508462,49.27074031,2
36.62151021,34.64714977,2
4.308342593,40.22286066,1
22.61664773,35.70788558,2
38.23518357,7.967017722,1
43.91123641,9.714515697,2
34.97671316,3.933625918,1
39.86279902,2.540732212,1
7.816240278,36.52073813,1
42.92127547,41.33725439,2
0.620883122,36.84810378,1
27.58681485,18.13113823,1
17.49391224,8.356221609,1
22.10194154,34.79710053,2
10.46991987,40.41880725,2
17.68404266,25.3474327,1
46.34866344,43.23364959,2
1.327136539,49.28979729,2
0.160126927,20.70559923,0
48.78054587,29.47205249,2
2.366530104,41.68934877,1
49.2266324,12.77226884,2
31.32001909,36.13244657,2
49.74638168,18.8489657,2
